YEAR	CROPCODE	CROP_DESC	MON_CG	MON_CG_DESC	MON_LC	MON_LC_DESC	LC_MIDDENDETA	LC_MIDDENDETA_DESC	MON_VROEG_LAAT	IS_VROEG	IS_PERM_TEELT	IS_PERM_BEDEKKING	IS_BOUWLAND	IS_SUBSIDIABEL	IS_NIETSUBSIDIABEL
2023	3	Poelen <= 0,1 ha	MON_HEG_RIJ_POEL	MON_HEG_RIJ_POEL	MON_TYPE_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_WATER	Water	MON_TEELTEN_LATE	0	1	0	0	1	0
2023	4	Houtkanten en houtwallen <= 10 m breed	MON_HEG_RIJ_POEL	MON_HEG_RIJ_POEL	MON_TYPE_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_HOUTACHTIG	Houtachtige gewassen	MON_TEELTEN_LATE	0	1	0	0	1	0
2023	6	Begraasde niet-landbouwgrond	MON_GRASSEN_BRAAK_NIETSUB	MON_GRASSEN_BRAAK_NIETSUB	MON_TYPE_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_LATE	0	1	0	0	0	1
2023	8	Volkstuinpark	MON_ONBEKEND_MET_KLASSIFICATIE	Moeilijk met klassificatie	MON_TYPE_ONBEKEND_MET_KLASSIFICATIE	onbekend met klassificatie	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_LATE	0	1	0	0	0	1
2023	9	Onverharde landingsbaan of veiligheidszones op vliegvelden	MON_GRASSEN_BRAAK_NIETSUB	MON_GRASSEN_BRAAK_NIETSUB	MON_TYPE_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_LATE	0	1	0	0	0	1
2023	11	Stal	MON_STAL_GEB	MON_STAL_GEB	MON_TYPE_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_TEELTEN_VROEGE	1	1	0	0	0	1
2023	12	Loods (bv. voor machines, opslag,…)	MON_STAL_GEB	MON_STAL_GEB	MON_TYPE_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_TEELTEN_VROEGE	1	1	0	0	0	1
2023	13	Niet nader omschreven gebouw	MON_STAL_GEB	MON_STAL_GEB	MON_TYPE_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_TEELTEN_VROEGE	1	1	0	0	0	1
2023	14	Woonhuis	MON_STAL_GEB	MON_STAL_GEB	MON_TYPE_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_TEELTEN_VROEGE	1	1	0	0	0	1
2023	15	Gebouw i.k.v. verbreding	MON_STAL_GEB	MON_STAL_GEB	MON_TYPE_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_TEELTEN_VROEGE	1	1	0	0	0	1
2023	16	Ander gebouw	MON_STAL_GEB	MON_STAL_GEB	MON_TYPE_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_TEELTEN_VROEGE	1	1	0	0	0	1
2023	17	Biologische niet-landbouwgrond	MON_MOEILIJK_ZONDER_KLASSIFICATIE_NS	Type moeilijk zonder klassificatie	MON_TYPE_MOEILIJK_ZONDER_KLASSIFICATIE_NS	moeilijk zonder klassificatie niet subsidiabel			MON_TEELTEN_VROEGE	1	0	0	0	0	0
2023	34	Japanse haver	MON_HAVER	Haver	MON_TYPE_BOUWLAND	bouwland	LC_MD_GRA_ZA_PEUL	Granen, zaden en peulvruchten	MON_TEELTEN_LATE	0	0	0	1	1	0
