YEAR	CROPCODE	CROP_DESC	TOELICHTING	MON_LC	MON_LC_DESC	MON_CG	MON_CG_DESC	MON_OC	MON_OC_DESC	MON_VRU	MON_VRU_DESC	MON_RUG	MON_RUG_DESC	MON_MIDDENDETA	MON_MIDDENDETA_DESC	MON_OCNT	MON_OCNT_DESC	MON_VROEG_LAAT	MON_VROEG_LAAT_DESC	IS_VROEG	IS_LAAT	IS_PERM_TEELT	IS_PERM_BEDEKKING	IS_BOUWLAND	IS_SUBSIDIABEL	IS_NIETSUBSIDIABEL
2025	3	Poelen <= 0,1 ha	OBJECTEN	MON_LC_IGNORE_LPIS	MARKER_LANDCOVER ignore_lpis	MON_CG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	MON_OC_IGNORE_LPIS	marker organische koolstof ignore_lpis	MON_VRU_IGNORE_LPIS	MARKER_VRUCHTAFWISSELING ignore_lpis	MON_RUG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	LC_MD_WATER	Water	MON_OCNT_IGNORE_LPIS	Monitoring organische koolstof aanvoer nateelt - IGNORE_LPIS	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	1	0
2025	4	Houtkanten en houtwallen <= 10 m breed	OBJECTEN	MON_LC_IGNORE_LPIS	MARKER_LANDCOVER ignore_lpis	MON_CG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	MON_OC_IGNORE_LPIS	marker organische koolstof ignore_lpis	MON_VRU_IGNORE_LPIS	MARKER_VRUCHTAFWISSELING ignore_lpis	MON_RUG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	LC_MD_HOUTACHTIG	Houtachtige gewassen	MON_OCNT_IGNORE_LPIS	Monitoring organische koolstof aanvoer nateelt - IGNORE_LPIS	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	1	0
2025	6	Begraasde niet-landbouwgrond	OBJECTEN	MON_LC_IGNORE_LPIS	MARKER_LANDCOVER ignore_lpis	MON_CG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	MON_OC_IGNORE_LPIS	marker organische koolstof ignore_lpis	MON_VRU_IGNORE_LPIS	MARKER_VRUCHTAFWISSELING ignore_lpis	MON_RUG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	LC_MD_OVERIGE	Overige gewassen	MON_OCNT_IGNORE_LPIS	Monitoring organische koolstof aanvoer nateelt - IGNORE_LPIS	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	0	1
2025	8	Volkstuinpark	OBJECTEN	MON_LC_MOEILIJK_ZONDER_KLASSIFICATIE_NS	MARKER_LANDCOVER moeilijk_zonder_klassificatie_ns	MON_CG_MOEILIJK_ZONDER_KLASSIFICATIE_NS	Marker cropgroup moeilijk_zonder_klassificatie_ns	MON_OC_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring organische koolstof - moeilijk zonder klassificatie	MON_VRU_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring vruchtafwisseling - moeilijk zonder klassificatie	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_OVERIGE	Overige gewassen	MON_OCNT_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring organische koolstof aanvoer nateelt - MOEILIJK_ZONDER_KLASSIFICATIE	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	0	1
2025	9	Onverharde landingsbaan of veiligheidszones op vliegvelden	OBJECTEN	MON_LC_IGNORE_LPIS	MARKER_LANDCOVER ignore_lpis	MON_CG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	MON_OC_IGNORE_LPIS	marker organische koolstof ignore_lpis	MON_VRU_IGNORE_LPIS	MARKER_VRUCHTAFWISSELING ignore_lpis	MON_RUG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	LC_MD_OVERIGE	Overige gewassen	MON_OCNT_IGNORE_LPIS	Monitoring organische koolstof aanvoer nateelt - IGNORE_LPIS	MON_TEELTEN_LATE	monitoring late teelten	0	1	1	0	0	0	1
2025	11	Stal	INFRASTRUCTUUR	MON_LC_IGNORE_LPIS	MARKER_LANDCOVER ignore_lpis	MON_CG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	MON_OC_IGNORE_LPIS	marker organische koolstof ignore_lpis	MON_VRU_IGNORE_LPIS	MARKER_VRUCHTAFWISSELING ignore_lpis	MON_RUG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_OCNT_IGNORE_LPIS	Monitoring organische koolstof aanvoer nateelt - IGNORE_LPIS	MON_TEELTEN_VROEGE	monitoring vroege teelten	1	0	1	0	0	0	1
2025	12	Loods (bv. voor machines, opslag,…)	INFRASTRUCTUUR	MON_LC_IGNORE_LPIS	MARKER_LANDCOVER ignore_lpis	MON_CG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	MON_OC_IGNORE_LPIS	marker organische koolstof ignore_lpis	MON_VRU_IGNORE_LPIS	MARKER_VRUCHTAFWISSELING ignore_lpis	MON_RUG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_OCNT_IGNORE_LPIS	Monitoring organische koolstof aanvoer nateelt - IGNORE_LPIS	MON_TEELTEN_VROEGE	monitoring vroege teelten	1	0	1	0	0	0	1
2025	13	Niet nader omschreven gebouw	INFRASTRUCTUUR	MON_LC_IGNORE_LPIS	MARKER_LANDCOVER ignore_lpis	MON_CG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	MON_OC_IGNORE_LPIS	marker organische koolstof ignore_lpis	MON_VRU_IGNORE_LPIS	MARKER_VRUCHTAFWISSELING ignore_lpis	MON_RUG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_OCNT_IGNORE_LPIS	Monitoring organische koolstof aanvoer nateelt - IGNORE_LPIS	MON_TEELTEN_VROEGE	monitoring vroege teelten	1	0	1	0	0	0	1
2025	14	Woonhuis	INFRASTRUCTUUR	MON_LC_IGNORE_LPIS	MARKER_LANDCOVER ignore_lpis	MON_CG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	MON_OC_IGNORE_LPIS	marker organische koolstof ignore_lpis	MON_VRU_IGNORE_LPIS	MARKER_VRUCHTAFWISSELING ignore_lpis	MON_RUG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_OCNT_IGNORE_LPIS	Monitoring organische koolstof aanvoer nateelt - IGNORE_LPIS	MON_TEELTEN_VROEGE	monitoring vroege teelten	1	0	1	0	0	0	1
2025	15	Gebouw i.k.v. verbreding	INFRASTRUCTUUR	MON_LC_IGNORE_LPIS	MARKER_LANDCOVER ignore_lpis	MON_CG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	MON_OC_IGNORE_LPIS	marker organische koolstof ignore_lpis	MON_VRU_IGNORE_LPIS	MARKER_VRUCHTAFWISSELING ignore_lpis	MON_RUG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_OCNT_IGNORE_LPIS	Monitoring organische koolstof aanvoer nateelt - IGNORE_LPIS	MON_TEELTEN_VROEGE	monitoring vroege teelten	1	0	1	0	0	0	1
2025	16	Ander gebouw	INFRASTRUCTUUR	MON_LC_IGNORE_LPIS	MARKER_LANDCOVER ignore_lpis	MON_CG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	MON_OC_IGNORE_LPIS	marker organische koolstof ignore_lpis	MON_VRU_IGNORE_LPIS	MARKER_VRUCHTAFWISSELING ignore_lpis	MON_RUG_IGNORE_LPIS	MARKER_CROPGROUP ignore_lpis	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_OCNT_IGNORE_LPIS	Monitoring organische koolstof aanvoer nateelt - IGNORE_LPIS	MON_TEELTEN_VROEGE	monitoring vroege teelten	1	0	1	0	0	0	1
2025	17	Biologische niet-landbouwgrond	OBJECTEN	MON_LC_MOEILIJK_ZONDER_KLASSIFICATIE_NS	MARKER_LANDCOVER moeilijk_zonder_klassificatie_ns	MON_CG_MOEILIJK_ZONDER_KLASSIFICATIE_NS	Marker cropgroup moeilijk_zonder_klassificatie_ns	MON_OC_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring organische koolstof - moeilijk zonder klassificatie	MON_VRU_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring vruchtafwisseling - moeilijk zonder klassificatie	MON_RUG_NEE	Ruggenteelt - nee	LC_MD_OVERIGE	Overige gewassen	MON_OCNT_MOEILIJK_ZONDER_KLASSIFICATIE	Monitoring organische koolstof aanvoer nateelt - MOEILIJK_ZONDER_KLASSIFICATIE	MON_TEELTEN_VROEGE	monitoring vroege teelten	1	0	0	0	0	0	1
