UID	HOOFDTEELT_CTRL_COD	HOOFDTEELT_CTRL_COD_ORIG	HOOFDTEELT_CTRL_NAM_ORIG	GESP_PM	STAT_BGV
000028106AF745B000000004	36	36	Spelt		
000028106AF7673D00000002	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028106AF5642800000008	859	859	Peterselie_-_industrie		
000028106AF729A90000000A	604	604	Zaaizaad_olie-_en_vezelhoudende_planten		
000028106AF6265800000007	35	35	Triticale		
000028106BAEB0100000000A	700	8523	Bloemkool_-_industrie		BG2
0000281065F389A500000003	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)	EQW	
000028105C185B2000000001	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)	EQW	
000028105C185DE300000009	901	901	Aardappelen_(geplande_oogst_vanaf_1/9)		
000028105C7822B300000003	9711	9711	Meerjarige_fruitteelten_(peer)		
00002810620B4FE700000001	9711	9711	Meerjarige_fruitteelten_(peer)		
00002810620B504C00000006	9711	9711	Meerjarige_fruitteelten_(peer)		
0000281065419D8C00000001	9711	9710	Meerjarige_fruitteelten_(appel)		
000028104EF520080000000F	9710	9710	Meerjarige_fruitteelten_(appel)		
000028105B14719C00000001	9711	9711	Meerjarige_fruitteelten_(peer)		
000028106784BDB300000008	9711	9711	Meerjarige_fruitteelten_(peer)		
000028106784BC1F00000003	9711	9711	Meerjarige_fruitteelten_(peer)		
000028106939DD5700000005	9711	9711	Meerjarige_fruitteelten_(peer)		
000028106784BC8400000001	9711	9711	Meerjarige_fruitteelten_(peer)		
000028106939DDBC00000008	9711	9711	Meerjarige_fruitteelten_(peer)		
000028104EF51C7B00000005	9711	9711	Meerjarige_fruitteelten_(peer)		
0000281065DFF76300000004	9711	9711	Meerjarige_fruitteelten_(peer)		
0000281065DFF7C800000001	9711	9711	Meerjarige_fruitteelten_(peer)		
000028106939DCF200000001	9711	9711	Meerjarige_fruitteelten_(peer)		
00002810642316D600000001	9711	9711	Meerjarige_fruitteelten_(peer)		
000028106423173B00000006	9711	9711	Meerjarige_fruitteelten_(peer)		
000028104EF8DF8B00000001	9711	9711	Meerjarige_fruitteelten_(peer)		
000028104EF8DEC100000003	9711	9711	Meerjarige_fruitteelten_(peer)		
0000281059A128FC00000005	9711	9711	Meerjarige_fruitteelten_(peer)		
000028106939DE2100000008	9711	9711	Meerjarige_fruitteelten_(peer)		
000028106AA3ADC500000001	311	311	Wintertarwe		
000028106788974000000008	35	35	Triticale		
000028106529A21500000002	311	311	Wintertarwe		
000028106514709F00000001	322	322	Zomergerst		
0000281068FED28C00000003	311	311	Wintertarwe		
0000281060D172DA0000000C	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028106A2622A100000002	8410	8410	Stamslabonen/sperziebonen_-_industrie		
000028104B71B1040000000B	60	60	Grasland	MAA	BG
0000281060EA913600000009	60	60	Grasland	MAA	BG
000028104DCF365300000001	36	36	Spelt		
00002810672C5B1400000003	392	392	Mengteelt_zomergranen_en_zomerteelt_vlinderbloemige		
0000281062E8EB3E00000002	9711	9711	Meerjarige_fruitteelten_(peer)		
000028105BD3B3CB00000003	9711	9711	Meerjarige_fruitteelten_(peer)		
