YEAR	CROPCODE	CROP_DESC	GEWASHOOFDGROEPENGELS	DIV_CROPGROUP	DIV_CROPGROUP_DESC	MON_CROPGROUP_ORIG	MON_CROPGROUP	MON_CROPGROUP_DESC	MON_LC_GROUP_NL	MON_LC_GROUP_ORIG	MON_LC_GROUP	MON_LC_GROUP_DESC	LC_MIDDENDETAIL	LC_MIDDENDETAIL_DESC	MON_EARLY_LATE	IS_VROEG	IS_PERM_TEELT	IS_PERM_BEDEKKING	IS_BOUWLAND	IS_SUBSIDIABEL	IS_NIETSUBSIDIABEL	IGNORE_ERASE_LAYER
2023	3	Poelen <= 0,1 ha	MON_LC_IGNORE_LPIS			MON_HEG_RIJ_POEL	MON_HEG_RIJ_POEL	MON_HEG_RIJ_POEL	MON_TYPE_IGNORE_LPIS	MON_LC_IGNORE_LPIS	MON_LC_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_WATER	Water	MON_TEELTEN_LATE	0	1	0	0	1	0	0
2023	4	Houtkanten en houtwallen <= 10 m breed	MON_LC_IGNORE_LPIS			MON_HEG_RIJ_POEL	MON_HEG_RIJ_POEL	MON_HEG_RIJ_POEL	MON_TYPE_IGNORE_LPIS	MON_LC_IGNORE_LPIS	MON_LC_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_HOUTACHTIG	Houtachtige gewassen	MON_TEELTEN_LATE	0	1	0	0	1	0	0
2023	6	Begraasde niet-landbouwgrond	MON_LC_IGNORE_LPIS			MON_GRASSEN_BRAAK_NIETSUB	MON_GRASSEN_BRAAK_NIETSUB	MON_GRASSEN_BRAAK_NIETSUB	MON_TYPE_IGNORE_LPIS	MON_LC_IGNORE_LPIS	MON_LC_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_LATE	0	1	0	0	0	1	0
2023	8	Volkstuinpark	MON_LC_UNKNOWN			MON_ONBEKEND_MET_KLASSIFICATIE	MON_ONBEKEND_MET_KLASSIFICATIE	Moeilijk met klassificatie	MON_TYPE_ONBEKEND_MET_KLASSIFICATIE	MON_LC_UNKNOWN	MON_LC_UNKNOWN	onbekend met klassificatie	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_LATE	0	1	0	0	0	1	0
2023	9	Onverharde landingsbaan of veiligheidszones op vliegvelden	MON_LC_IGNORE_LPIS			MON_GRASSEN_BRAAK_NIETSUB	MON_GRASSEN_BRAAK_NIETSUB	MON_GRASSEN_BRAAK_NIETSUB	MON_TYPE_IGNORE_LPIS	MON_LC_IGNORE_LPIS	MON_LC_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_OVERIGE	Overige gewassen	MON_TEELTEN_LATE	0	1	0	0	0	1	0
2023	11	Stal	MON_LC_IGNORE_LPIS			MON_STAL_GEB	MON_STAL_GEB	MON_STAL_GEB	MON_TYPE_IGNORE_LPIS	MON_LC_IGNORE_LPIS	MON_LC_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_TEELTEN_VROEGE	1	1	0	0	0	1	0
2023	12	Loods (bv. voor machines, opslag,…)	MON_LC_IGNORE_LPIS			MON_STAL_GEB	MON_STAL_GEB	MON_STAL_GEB	MON_TYPE_IGNORE_LPIS	MON_LC_IGNORE_LPIS	MON_LC_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_TEELTEN_VROEGE	1	1	0	0	0	1	0
2023	13	Niet nader omschreven gebouw	MON_LC_IGNORE_LPIS			MON_STAL_GEB	MON_STAL_GEB	MON_STAL_GEB	MON_TYPE_IGNORE_LPIS	MON_LC_IGNORE_LPIS	MON_LC_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_TEELTEN_VROEGE	1	1	0	0	0	1	0
2023	14	Woonhuis	MON_LC_IGNORE_LPIS			MON_STAL_GEB	MON_STAL_GEB	MON_STAL_GEB	MON_TYPE_IGNORE_LPIS	MON_LC_IGNORE_LPIS	MON_LC_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_TEELTEN_VROEGE	1	1	0	0	0	1	0
2023	15	Gebouw i.k.v. verbreding	MON_LC_IGNORE_LPIS			MON_STAL_GEB	MON_STAL_GEB	MON_STAL_GEB	MON_TYPE_IGNORE_LPIS	MON_LC_IGNORE_LPIS	MON_LC_IGNORE_LPIS	Gewassen die worden opgevolgd in LPIS	LC_MD_INFRASTRUCTUUR	Landbouwinfrastructuur	MON_TEELTEN_VROEGE	1	1	0	0	0	1	0
